\ Created 2021 May 30 by Nadia Zakamska 
\ Wavelengths are assumed to be in vacuum! 
\ Data Source 1: JWST H_2 lines between 1 and 2.5 microns from this link: 
\ https://github.com/spacetelescope/jdaviz/tree/main/jdaviz/data/linelists 
\ H2_alt.csv file; one typo corrected (the line marked as 2-9 Q(1) replaced with 2-0 Q(1)) 
\ Data Source 2: ISO H_2 lines from 2.5 microns onwards from this link: 
\ https://www.mpe.mpg.de/ir/ISO/linelists, file H2.html 
\ The original precision for wavelength is maintained. 
|                    name|          lines|                linelab|
|                    char|          float|                   char|
|                        |         micron|                       |
|                    null|           null|                   null|
                 H2_32_O4         3.39589     H$_2$(3-2) O(4) 
                H2_54_Q10         3.39898    H$_2$(5-4) Q(10) 
                H2_119_O6         3.40256    H$_2$(11-9) O(6) 
               H2_1411_O2         3.40693   H$_2$(14-11) O(2) 
                H2_00_S18         3.41196    H$_2$(0-0) S(18) 
                 H2_65_Q5         3.41455     H$_2$(6-5) Q(5) 
               H2_118_O14         3.41656   H$_2$(11-8) O(14) 
                H2_97_O11         3.42232    H$_2$(9-7) O(11) 
                H2_86_O13         3.42430    H$_2$(8-6) O(13) 
                H2_43_Q14         3.42884    H$_2$(4-3) Q(14) 
               H2_119_Q10         3.43661   H$_2$(11-9) Q(10) 
                 H2_21_O5         3.43787     H$_2$(2-1) O(5) 
                 H2_98_S4         3.44496     H$_2$(9-8) S(4) 
               H2_1210_Q5         3.45353   H$_2$(12-10) Q(5) 
                 H2_65_Q6         3.45426     H$_2$(6-5) Q(6) 
                 H2_87_S1         3.45682     H$_2$(8-7) S(1) 
                H2_75_O15         3.46316    H$_2$(7-5) O(15) 
                H2_54_Q11         3.46654    H$_2$(5-4) Q(11) 
               H2_1411_Q3         3.47060   H$_2$(14-11) Q(3) 
                H2_00_S17         3.47505    H$_2$(0-0) S(17) 
                H2_108_O9         3.47768    H$_2$(10-8) O(9) 
                H2_98_S13         3.47960    H$_2$(9-8) S(13) 
                 H2_10_O6         3.50081     H$_2$(1-0) O(6) 
                 H2_65_Q7         3.50142     H$_2$(6-5) Q(7) 
               H2_1210_O3         3.51258   H$_2$(12-10) O(3) 
                H2_64_O17         3.51429    H$_2$(6-4) O(17) 
                H2_43_Q15         3.51798    H$_2$(4-3) Q(15) 
               H2_1310_O8         3.52425   H$_2$(13-10) O(8) 
                H2_54_Q12         3.54232    H$_2$(5-4) Q(12) 
                H2_00_S16         3.54456    H$_2$(0-0) S(16) 
               H2_108_Q14         3.55377   H$_2$(10-8) Q(14) 
                 H2_65_Q8         3.55647     H$_2$(6-5) Q(8) 
               H2_1411_O3         3.56636   H$_2$(14-11) O(3) 
               H2_1210_Q6         3.58434   H$_2$(12-10) Q(6) 
                 H2_76_Q1         3.60199     H$_2$(7-6) Q(1) 
                 H2_76_Q2         3.61731     H$_2$(7-6) Q(2) 
                 H2_54_O3         3.61851     H$_2$(5-4) O(3) 
                 H2_65_Q9         3.61997     H$_2$(6-5) Q(9) 
                H2_119_O7         3.62123    H$_2$(11-9) O(7) 
                 H2_87_S0         3.62530     H$_2$(8-7) S(0) 
                H2_00_S15         3.62636    H$_2$(0-0) S(15) 
                H2_54_Q13         3.62703    H$_2$(5-4) Q(13) 
                 H2_43_O4         3.62739     H$_2$(4-3) O(4) 
                 H2_76_Q3         3.64047     H$_2$(7-6) Q(3) 
                 H2_65_O2         3.64230     H$_2$(6-5) O(2) 
                 H2_32_O5         3.66324     H$_2$(3-2) O(5) 
               H2_119_Q11         3.67085   H$_2$(11-9) Q(11) 
