# wl(um)  tau
 12.8566  0.00000e+00
 12.8665  0.00000e+00
 12.8764  0.00000e+00
 12.8863  0.00000e+00
 12.8962  0.00000e+00
 12.9061  0.00000e+00
 12.9160  0.00000e+00
 12.9260  0.00000e+00
 12.9359  0.00000e+00
 12.9459  0.00000e+00
 12.9558  0.00000e+00
 12.9658  0.00000e+00
 12.9758  0.00000e+00
 12.9858  0.00000e+00
 12.9958  0.00000e+00
 13.0058  0.00000e+00
 13.0158  0.00000e+00
 13.0258  0.00000e+00
 13.0358  0.00000e+00
 13.0458  0.00000e+00
 13.0559  0.00000e+00
 13.0659  0.00000e+00
 13.0760  0.00000e+00
 13.0860  0.00000e+00
 13.0961  0.00000e+00
 13.1062  0.00000e+00
 13.1163  0.00000e+00
 13.1264  0.00000e+00
 13.1365  0.00000e+00
 13.1466  0.00000e+00
 13.1567  0.00000e+00
 13.1668  0.00000e+00
 13.1770  0.00000e+00
 13.1871  0.00000e+00
 13.1972  0.00000e+00
 13.2074  0.00000e+00
 13.2176  0.00000e+00
 13.2277  0.00000e+00
 13.2379  0.00000e+00
 13.2481  0.00000e+00
 13.2583  0.00000e+00
 13.2685  0.00000e+00
 13.2787  0.00000e+00
 13.2889  0.00000e+00
 13.2992  0.00000e+00
 13.3094  0.00000e+00
 13.3196  0.00000e+00
 13.3299  0.00000e+00
 13.3401  0.00000e+00
 13.3504  0.00000e+00
 13.3607  0.00000e+00
 13.3710  0.00000e+00
 13.3812  0.00000e+00
 13.3915  0.00000e+00
 13.4019  0.00000e+00
 13.4122  0.00000e+00
 13.4225  0.00000e+00
 13.4328  0.00000e+00
 13.4432  0.00000e+00
 13.4535  0.00000e+00
 13.4638  0.00000e+00
 13.4742  0.00000e+00
 13.4846  0.00000e+00
 13.4950  0.00000e+00
 13.5053  0.00000e+00
 13.5157  0.00000e+00
 13.5261  0.00000e+00
 13.5365  0.00000e+00
 13.5470  0.00000e+00
 13.5574  0.00000e+00
 13.5678  0.00000e+00
 13.5783  0.00000e+00
 13.5887  0.00000e+00
 13.5992  0.00000e+00
 13.6096  0.00000e+00
 13.6201  0.00000e+00
 13.6306  0.00000e+00
 13.6411  0.00000e+00
 13.6516  0.00000e+00
 13.6621  0.00000e+00
 13.6726  0.00000e+00
 13.6831  0.00000e+00
 13.6936  0.00000e+00
 13.7042  0.00000e+00
 13.7147  0.00000e+00
 13.7253  0.00000e+00
 13.7358  0.00000e+00
 13.7464  0.00000e+00
 13.7570  0.00000e+00
 13.7676  0.00000e+00
 13.7782  0.00000e+00
 13.7888  0.00000e+00
 13.7994  0.00000e+00
 13.8100  0.00000e+00
 13.8206  0.00000e+00
 13.8313  0.00000e+00
 13.8419  0.00000e+00
 13.8526  0.00000e+00
 13.8632  0.00000e+00
 13.8739  0.00000e+00
 13.8846  0.00000e+00
 13.8952  0.00000e+00
 13.9059  0.00000e+00
 13.9166  0.00000e+00
 13.9273  0.00000e+00
 13.9381  0.00000e+00
 13.9488  0.00000e+00
 13.9595  0.00000e+00
 13.9703  0.00000e+00
 13.9810  0.00000e+00
 13.9918  0.00000e+00
 14.0025  0.00000e+00
 14.0133  0.00000e+00
 14.0241  0.00000e+00
 14.0349  0.00000e+00
 14.0457  0.00000e+00
 14.0565  0.00000e+00
 14.0673  0.00000e+00
 14.0781  0.00000e+00
 14.0890  0.00000e+00
 14.0998  0.00000e+00
 14.1107  0.00000e+00
 14.1215  0.00000e+00
 14.1324  0.00000e+00
 14.1433  0.00000e+00
 14.1542  0.00000e+00
 14.1650  0.00000e+00
 14.1759  0.00000e+00
 14.1869  0.00000e+00
 14.1978  0.00000e+00
 14.2087  0.00000e+00
 14.2196  0.00000e+00
 14.2306  0.00000e+00
 14.2415  0.00000e+00
 14.2525  0.00000e+00
 14.2635  0.00000e+00
 14.2744  0.00000e+00
 14.2854  0.00000e+00
 14.2964  0.00000e+00
 14.3074  0.00000e+00
 14.3184  0.00000e+00
 14.3294  0.00000e+00
 14.3405  0.00000e+00
 14.3515  0.00000e+00
 14.3625  0.00000e+00
 14.3736  0.00000e+00
 14.3847  0.00000e+00
 14.3957  0.00000e+00
 14.4068  0.00000e+00
 14.4179  0.00000e+00
 14.4290  0.00000e+00
 14.4401  0.00000e+00
 14.4512  0.00000e+00
 14.4623  0.00000e+00
 14.4735  0.00000e+00
 14.4846  0.00000e+00
 14.4957  0.00000e+00
 14.5069  0.00000e+00
 14.5180  0.00000e+00
 14.5292  0.00000e+00
 14.5404  0.00000e+00
 14.5516  0.00000e+00
 14.5628  0.00000e+00
 14.5740  0.00000e+00
 14.5852  0.00000e+00
 14.5964  0.00000e+00
 14.6077  0.00000e+00
 14.6189  0.00000e+00
 14.6302  0.00000e+00
 14.6414  0.00000e+00
 14.6527  0.00000e+00
 14.6640  0.00000e+00
 14.6752  0.00000e+00
 14.6865  0.00000e+00
 14.6978  0.00000e+00
 14.7092  0.00000e+00
 14.7205  0.00000e+00
 14.7318  0.00000e+00
 14.7431  0.00000e+00
 14.7545  0.00000e+00
 14.7658  0.00000e+00
 14.7772  0.00000e+00
 14.7886  0.00000e+00
 14.7999  0.00000e+00
 14.8113  0.00000e+00
 14.8227  0.00000e+00
